"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1877545921514238182","Fri Jan 10 02:40:05 +0000 2025","243","Siswa di Makassar Dijanjikan Hadiah Jika Habiskan Makan Bergizi Gratis
https://t.co/OvJHC1pNBO","1877545921514238182","","","in","","61","133","62","https://x.com/CNNIndonesia/status/1877545921514238182","17128975","CNNIndonesia"
"1884494970347987162","Wed Jan 29 06:53:07 +0000 2025","35","Makan siang ngga ada yg gratis Kecuali Program anak sekolah Pak @prabowo 🤭 Semoga dibawah Macan Asia, ditumpas habis semua 🔥✊️","1884494970347987162","","","in","","2","4","15","https://x.com/DrEvaChaniago/status/1884494970347987162","1355632532","DrEvaChaniago"
"1884503134246167041","Wed Jan 29 07:25:34 +0000 2025","0","Pemerintah mengisyaratkan akses permodalan hingga Rp500 juta bagi mitra Usaha Mikro Kecil dan Menengah (UMKM) program Makan Bergizi Gratis (MBG). Menteri UMKM, Maman Abdurrahman mengakui telah berkoordinasi dengan 46 bank mitra termasuk 4 bank Himpunan Bank Milik Negara (Himbara) https://t.co/JxUwCE7NWm","1884503134246167041","https://pbs.twimg.com/media/GicZmoIbAAAgjut.jpg","","in","","0","0","0","https://x.com/RadioElshinta/status/1884503134246167041","121640063","RadioElshinta"
"1880830611168071961","Sun Jan 19 04:12:16 +0000 2025","1219","Saya seringkali makan nasi kotak ketika mengisi acara di TV Nasional. Jadi kalau dibandingkan dengan menu MBG ya gak apple to apple...eh box to box maksudnya 😅. Ya udah ga usah marah2, klo anak2 pas ga suka menunya ya ga usah dimaki2. Jgnkan makan gratisan, kadang bekal dari","1880830611168071961","","","in","","4","46","301","https://x.com/Hilmi28/status/1880830611168071961","65067181","Hilmi28"
"1881543372034412562","Tue Jan 21 03:24:31 +0000 2025","233","Menunggu para bayi turun ke jalan setelah Makan Bergizi Gratis untuk Ibu Hamil hanya memiliki gizi seadanya 🔥","1881543372034412562","","","in","","1","4","52","https://x.com/kemgelapan/status/1881543372034412562","1772124227463979008","kemgelapan"
"1876545169031671851","Tue Jan 07 08:23:27 +0000 2025","268","Anggaran Makan Bergizi Gratis Rp71 T Cuma Cukup Sampai Juni
https://t.co/OqlUGxTuTh","1876545169031671851","","","in","","63","66","65","https://x.com/CNNIndonesia/status/1876545169031671851","17128975","CNNIndonesia"
"1876521358223712351","Tue Jan 07 07:01:37 +0000 2025","10042","@fmuchtaar MBG = Makan Bergizi Gratis ❌
MBG = Makanya, Bersyukur Guys ✅","1876524575602909406","","fmuchtaar_","in","","35","11","750","https://x.com/andikamalreza/status/1876524575602909406","499262326","andikamalreza"
"1879093958921670743","Tue Jan 14 10:07:53 +0000 2025","245","@OposisiCerdas Judulnya ~Makan Bergizi ""Gratis""~ tapi ujug² Ketua DPD usul Masyarakat ikut membiayai, pertanyaannya ngapain judulnya dicantumkan kata GRATIS ?!!! Sudahlah jk keuangan negara lg seret, tunda atau batalkan aja MSG. Daripada melintir sana sini kayak org linglung ...","1879108166245548175","","OposisiCerdas","in","","0","7","26","https://x.com/bekilapan/status/1879108166245548175","263522716","bekilapan"
"1884698575608963400","Wed Jan 29 20:22:11 +0000 2025","129","Daripada makan siang gratis mending makan dini hari gratis karena kayanya lebih banyak yang laper jam segini","1884698575608963400","","","in","","1","4","32","https://x.com/fullmoonfolks/status/1884698575608963400","56785548","fullmoonfolks"
"1884608152131485948","Wed Jan 29 14:22:52 +0000 2025","5","kelainan ajg, makan bergizi gratis aja tuh pendukung untuk kesehatan anak tapi kesehatan malah jadi prioritas pendukung. berpikir sesimpel ini aja pemerintah sulit","1884608152131485948","","","in","","0","0","0","https://x.com/pookeemag/status/1884608152131485948","2384782470","pookeemag"
